artist-scientist,planner-spontaneous,library-gym,wolfpack-lonewolf,volunteer-leader,optimist-realist,anxious-calm,class_label
0.43,-0.83,-0.13,-0.01,0.23,0.37,0.03,Astrofusioner
0.22,-0.61,-0.14,-0.18,0.53,0.42,0.12,Astrofusioner
0.82,-0.63,0.12,0.02,0.91,0.86,-0.16,Astrofusioner
0.83,-0.93,0.17,0.04,0.3,0.92,-0.0,Astrofusioner
0.65,-0.41,0.03,0.04,0.56,0.51,-0.06,Astrofusioner
0.39,-0.79,-0.01,-0.12,0.83,0.52,-0.03,Astrofusioner
0.61,-0.28,-0.18,0.15,0.81,0.49,0.01,Astrofusioner
0.89,-0.51,-0.11,-0.03,0.43,0.34,-0.02,Astrofusioner
0.31,-0.85,0.14,-0.15,0.71,0.99,0.01,Astrofusioner
0.38,-0.71,0.13,0.11,0.8,0.5,0.03,Astrofusioner
0.7,-1.0,-0.17,-0.02,0.6,0.84,-0.11,Astrofusioner
0.93,-0.7,0.19,0.14,0.77,0.57,0.15,Astrofusioner
0.66,-0.84,0.03,-0.17,0.68,0.95,-0.05,Astrofusioner
0.55,-0.26,0.07,0.16,0.9,0.29,-0.03,Astrofusioner
0.69,-0.45,0.03,-0.09,0.66,0.37,-0.11,Astrofusioner
0.79,-0.52,0.04,-0.08,0.62,0.34,0.02,Astrofusioner
0.47,-0.27,-0.2,0.13,0.67,0.82,0.07,Astrofusioner
0.52,-0.96,0.01,0.16,0.71,0.66,-0.17,Astrofusioner
0.33,-0.79,0.11,-0.12,0.65,0.87,-0.05,Astrofusioner
0.56,-0.26,0.16,-0.06,0.98,0.26,-0.03,Astrofusioner
0.66,-0.98,-0.11,-0.02,0.56,0.26,0.09,Astrofusioner
0.52,-0.32,0.17,-0.1,0.29,0.47,0.1,Astrofusioner
0.27,-0.97,-0.16,0.08,0.8,0.85,-0.1,Astrofusioner
0.85,-0.47,-0.03,0.12,0.35,0.98,0.09,Astrofusioner
0.42,-0.68,0.03,-0.18,0.63,0.92,0.11,Astrofusioner
0.34,-0.24,-0.11,0.11,0.98,0.52,0.18,Astrofusioner
0.36,-0.61,-0.16,0.16,0.64,0.99,0.01,Astrofusioner
0.43,-0.92,-0.12,0.12,0.73,0.54,-0.13,Astrofusioner
0.96,-0.9,0.08,0.08,0.61,0.26,0.2,Astrofusioner
0.41,-0.86,-0.04,-0.08,0.69,0.28,0.02,Astrofusioner
0.08,0.99,0.53,-0.6,0.2,-0.38,-0.26,Essentromancer
0.1,0.79,0.51,-0.66,-0.08,-0.46,-0.88,Essentromancer
0.06,0.98,0.27,-0.81,0.01,-0.33,-0.46,Essentromancer
0.17,0.5,0.49,-0.49,-0.01,-0.32,-0.99,Essentromancer
0.02,0.24,0.29,-0.45,-0.19,-0.27,-0.47,Essentromancer
0.12,0.72,0.36,-0.91,-0.12,-0.26,-0.78,Essentromancer
-0.08,0.28,0.59,-0.35,-0.13,-0.24,-0.26,Essentromancer
0.11,0.82,0.58,-0.91,0.05,-0.75,-0.44,Essentromancer
-0.06,0.97,0.76,-0.3,0.14,-0.65,-0.95,Essentromancer
-0.15,0.45,0.51,-0.75,0.02,-0.68,-0.51,Essentromancer
0.04,0.88,0.5,-0.39,-0.2,-0.68,-0.26,Essentromancer
-0.05,0.45,0.29,-0.35,-0.18,-0.89,-0.81,Essentromancer
0.06,0.44,0.67,-0.4,-0.1,-0.41,-0.4,Essentromancer
-0.08,0.6,0.9,-0.42,0.04,-0.33,-0.65,Essentromancer
0.04,0.44,0.95,-0.24,-0.05,-0.62,-0.6,Essentromancer
0.17,0.34,0.24,-0.71,-0.06,-0.28,-0.61,Essentromancer
0.06,0.6,0.75,-0.91,-0.09,-0.72,-0.42,Essentromancer
-0.11,0.3,0.31,-0.24,-0.04,-0.64,-0.45,Essentromancer
-0.09,0.79,0.4,-0.32,0.05,-0.84,-0.94,Essentromancer
0.13,0.4,0.29,-0.81,0.01,-0.54,-0.9,Essentromancer
-0.12,0.9,0.94,-0.33,-0.06,-0.43,-0.98,Essentromancer
-0.06,0.68,0.26,-0.22,-0.19,-0.87,-0.5,Essentromancer
0.13,0.64,0.97,-0.25,0.19,-0.47,-0.78,Essentromancer
-0.06,0.36,0.26,-0.33,0.17,-0.95,-0.41,Essentromancer
-0.09,0.62,0.8,-0.98,0.04,-0.78,-0.64,Essentromancer
0.07,0.25,0.22,-0.23,-0.01,-0.39,-0.79,Essentromancer
0.11,0.96,0.63,-0.83,0.08,-0.21,-0.37,Essentromancer
-0.11,0.81,0.61,-0.37,-0.09,-0.9,-0.51,Essentromancer
0.02,0.94,0.53,-0.93,-0.06,-0.68,-0.36,Essentromancer
-0.1,0.23,0.33,-0.49,-0.06,-0.61,-0.62,Essentromancer
-0.33,0.04,-0.61,0.25,-0.61,-0.19,0.79,Intergraph
-0.3,0.15,-0.76,0.69,-0.53,0.05,0.58,Intergraph
-0.74,0.19,-0.53,0.73,-0.87,0.02,0.41,Intergraph
-0.84,0.16,-0.97,0.5,-0.24,0.18,0.4,Intergraph
-0.37,0.17,-0.27,0.41,-0.41,-0.08,0.32,Intergraph
-0.78,0.18,-0.22,0.31,-0.83,-0.13,0.3,Intergraph
-0.78,-0.02,-0.62,0.63,-0.68,0.18,0.79,Intergraph
-0.47,-0.03,-0.84,0.29,-0.79,0.19,0.66,Intergraph
-0.63,-0.17,-0.79,0.99,-0.88,-0.16,0.58,Intergraph
-0.5,0.15,-0.69,0.48,-0.86,-0.13,0.88,Intergraph
-0.49,0.09,-0.8,0.87,-0.28,0.08,0.51,Intergraph
-0.91,-0.18,-0.64,0.21,-0.56,-0.18,0.61,Intergraph
-0.83,0.06,-0.77,0.79,-0.34,-0.05,0.44,Intergraph
-0.55,0.04,-0.58,0.45,-0.63,-0.05,0.7,Intergraph
-0.5,-0.18,-0.65,0.59,-0.62,-0.12,0.67,Intergraph
-0.44,0.12,-0.36,0.94,-0.25,-0.17,0.43,Intergraph
-0.36,-0.08,-0.9,0.47,-0.93,-0.03,0.4,Intergraph
-0.5,0.03,-0.7,0.33,-0.59,-0.19,0.62,Intergraph
-0.88,-0.09,-0.89,0.21,-0.3,-0.14,0.41,Intergraph
-0.32,0.14,-0.89,0.59,-0.62,0.14,0.3,Intergraph
-0.7,-0.19,-0.47,0.58,-0.61,-0.15,0.24,Intergraph
-0.35,-0.09,-0.55,0.86,-0.68,-0.14,1.0,Intergraph
-0.43,0.11,-0.93,0.4,-0.95,-0.15,0.48,Intergraph
-0.21,0.01,-0.95,0.57,-0.52,0.13,0.45,Intergraph
-0.64,0.15,-0.2,0.8,-0.48,-0.18,0.66,Intergraph
-0.71,0.17,-0.2,0.21,-0.91,0.01,0.77,Intergraph
-0.36,-0.11,-0.57,0.87,-0.63,0.04,0.39,Intergraph
-0.58,0.17,-0.55,0.35,-0.63,0.15,0.75,Intergraph
-0.41,0.01,-0.79,0.21,-0.26,-0.15,0.88,Intergraph
-0.98,-0.12,-0.22,0.79,-0.54,0.14,0.41,Intergraph
